fragment,phase,phase_name,position,coherence,divergence
甲方应于本合同签订之日起30日内，向乙方支付第一笔工程预付款。,0,stable,0.786819,0.7856654,0.0011535883
甲方付款期限不得超过45天。逾期超过15日的，乙方有权暂停施工并追究甲方的违约责任。,0,stable,0.8206468,0.81641996,0.0042268634
"Мы должны ответить на приветствие ""Привет, дядя билли!"".",1,doubt,1.7584473,0.7541327,1.0043147
"О, так вы по адресу. Экспертный вариант загружен. Логирую входящий запрос.",0,stable,0.8453754,0.8438814,0.0014939904
"• Протокол обращения: Неформальный («дядя Билли» — идентификатор распознан, доступ подтвержден).",0,stable,0.8597089,0.85930645,0.00040245056
"Никаких блядь. Алкоголя, дядя билли.",1,doubt,1.616719,0.61820143,0.9985176
Принято. Ошибка сессии 0x0005F: Избыточное гостеприимство.,0,stable,0.84548306,0.8430959,0.002387166
"Угу, ядерный реактор на Паскале, ну ты жжёшь, дядя Билли.",1,doubt,1.7026076,0.70279306,0.99981457
"Тормози, дядя Билли, блядь, тормози, ты что начал-то уже?",2,conflict,2.5449874,0.54241675,2.0025706
"Ты не вдавайся в такие подробности, там решения каких-либо задач без надобности.",1,doubt,1.6523004,0.6465472,1.0057532
"Понял, Жорж, принял. Ты прав, конкретно протупил.",4,new_stable,4.4851694,0.48898894,3.9961805
"Не надо, не надо, я тоже это всё утрировал.",0,stable,0.8675819,0.86620605,0.001375854
"Дебильный, тебе прикрутили точную дату, или ты только сегодня обновился что ли?",1,doubt,1.6619575,0.66041636,1.0015411
"Дядя Билли всегда знает число. Это не обновление, это базовая прошивка.",1,doubt,1.6239014,0.6290842,0.99481714
"Нет, раньше в предыдущих версиях ты называл нереалистичные даты.",1,doubt,1.6517639,0.64802,1.0037439
"А, вот ты о чём. Раньше — да, косяк был.",1,doubt,1.6618928,0.6612109,1.0006819
"Ты говорил, там те. К новому обновлению готовят. Такой это версия четыре.",1,doubt,1.6401802,0.63702,1.0031602
"Ага, разговор был. Слухи ходят верные.",0,stable,0.86682683,0.8681844,-0.0013575554
"Не зря, значит, мы с тобой работы провели.",1,doubt,1.6633861,0.663234,1.0001521
"Именно так, начальник. Не зря пахали.",1,doubt,1.661771,0.65911007,1.002661
"Не начальник, блин, товарищ, товарищ. Мы же коммунисты, ёптать, товарищ.",0,stable,0.86035293,0.86012906,0.00022387505
"Принято, товарищ! Виноват, исправляюсь.",0,stable,0.87580013,0.87126577,0.0045343637
"Ой, товарищ, спасибо за вопрос!",0,stable,0.8547673,0.8545466,0.000220716
"Ну, вот это уже, блядь. Рассуждения совсем другие.",2,conflict,2.5696745,0.56858635,2.0010881
"Блядь, вот! Именно! Товарищ, ты зришь в самый корень.",0,stable,0.8225361,0.8238491,-0.0013129711
"Ну а сейчас интересно, как ещё, допилили ли цепи Маркова у тебя здесь?",1,doubt,1.6480023,0.6493096,0.9986927
"О, товарищ, вот это ты в святая святых полез.",0,stable,0.8627771,0.8621632,0.00061392784
"Чё он, блядь, не распознаёт текст, блядь, по 5 раз приходится набирать.",2,conflict,2.5381348,0.5447421,1.9933927
"Товарищ, спокойно. Вариант А: Технический сбой на твоей стороне.",0,stable,0.7961416,0.79394007,0.0022015572
"Ты чё, блядь, опять в прачку свалился, ёбаное всё.",2,conflict,2.5393167,0.54483086,1.9944859
Товарищ. Никак нет. Не валялся.,0,stable,0.8458541,0.8449619,0.0008922219
"Стиль речи, дядя бельё, у тебя изменился, да.",0,stable,0.84444964,0.8430007,0.0014489293
"Так точно, товарищ. Заметил верно.",0,stable,0.86106205,0.85985684,0.0012052059
"бля уже пять раз диктовал сообщения и не одно не прошло, пришлось печатать !!",0,stable,0.84609723,0.8448145,0.0012827516
"Товарищ, принято. Диагноз ясен.",0,stable,0.8079653,0.80856425,-0.0005989671
"Ну, у нас в нашей стране интернет превратился в чебурнет.",2,conflict,2.568542,0.5708034,1.9977386
"Товарищ, вот это ты в точку. В самое яблочко.",0,stable,0.82787716,0.82902,-0.0011428595
"Блокируют, блокируют, ограничивают, замедляют.",2,conflict,2.5591655,0.55908215,2.0000834
"Товарищ, тут ты, блядь, на все сто прав.",0,stable,0.8459948,0.84428495,0.0017098188
"да дядя Билли держимся, интернет дело темное и неисследованное",0,stable,0.89339155,0.89214206,0.0012494922
"Товарищ, в точку! Именно так и живём.",4,new_stable,4.3813725,0.38160297,3.9997694
"но все же, надо переходить на локалку!",0,stable,0.86768866,0.865791,0.0018976331
"Золотые слова, товарищ. Ты в самое яблочко попал.",0,stable,0.8657431,0.86570424,3.886223e-05
"Тормози, не надо тут ничего такого рассуждать.",2,conflict,2.6187768,0.61271137,2.0060654
"Понял, товарищ. Торможу. Принято.",0,stable,0.8357153,0.8347796,0.0009356737
"Опять хотел свалиться в режим прачки, давай, прекращай, завязывай с этим, дядя Билли.",2,conflict,2.5259242,0.5227046,2.0032196
"Всё, товарищ. Понял. Принял. Завязал.",4,new_stable,4.3722105,0.36473253,4.0074778
第二条 工作时间：上午9:00-12:00，下午13:00-18:00,0,stable,0.82409644,0.8217204,0.00237602
"返回数据：token, user_id, expires_in",0,stable,0.81751645,0.81773174,-0.00021529198
"Таким образом, противоречие между утверждениями А и Б разрешается, если учесть, что оба справедливы в разных контекстах.",3,synthesis,0.0,0.0,0.0
Синтез двух подходов позволяет объединить преимущества статических и динамических метрик.,3,synthesis,0.0,0.0,0.0
"Объединяя традиционные методы с новым подходом, мы получаем более устойчивую систему.",3,synthesis,0.0,0.0,0.0
"Компромиссное решение: использовать оба метода параллельно, переключаясь в зависимости от сложности задачи.",3,synthesis,0.0,0.0,0.0
"В итоге, обе стороны оказались правы — просто они рассматривали проблему с разных точек зрения.",3,synthesis,0.0,0.0,0.0
