fragment,phase,phase_name,position,coherence,divergence
甲方应于本合同签订之日起30日内，向乙方支付第一笔工程预付款。,0,stable,0.86305434,0.8782368,-0.0151824355
甲方付款期限不得超过45天。逾期超过15日的，乙方有权暂停施工并追究甲方的违约责任。,0,stable,0.83711195,0.84301794,-0.005905986
"Мы должны ответить на приветствие ""Привет, дядя билли!"".",1,doubt,1.7235203,0.7257493,0.99777097
"О, так вы по адресу. Экспертный вариант загружен. Логирую входящий запрос.",0,stable,0.82701933,0.8308095,-0.0037901402
"• Протокол обращения: Неформальный («дядя Билли» — идентификатор распознан, доступ подтвержден).",0,stable,0.76292926,0.76486343,-0.0019341707
"Никаких блядь. Алкоголя, дядя билли.",1,doubt,1.6125585,0.5983256,1.0142329
Принято. Ошибка сессии 0x0005F: Избыточное гостеприимство.,0,stable,0.79482806,0.80241793,-0.0075898767
"Угу, ядерный реактор на Паскале, ну ты жжёшь, дядя Билли.",1,doubt,1.6784426,0.67391217,1.0045304
"Тормози, дядя Билли, блядь, тормози, ты что начал-то уже?",2,conflict,2.2209182,0.23498122,1.985937
"Ты не вдавайся в такие подробности, там решения каких-либо задач без надобности.",1,doubt,1.5840551,0.5729499,1.0111052
"Понял, Жорж, принял. Ты прав, конкретно протупил.",4,new_stable,4.188526,0.19202073,3.9965055
"Не надо, не надо, я тоже это всё утрировал.",0,stable,0.80606794,0.7975719,0.008496046
"Дебильный, тебе прикрутили точную дату, или ты только сегодня обновился что ли?",1,doubt,1.38376,0.39241797,0.991342
"Дядя Билли всегда знает число. Это не обновление, это базовая прошивка.",1,doubt,1.4731126,0.4576184,1.0154942
"Нет, раньше в предыдущих версиях ты называл нереалистичные даты.",1,doubt,1.4120708,0.40209842,1.0099723
"А, вот ты о чём. Раньше — да, косяк был.",1,doubt,1.424555,0.40935585,1.0151991
"Ты говорил, там те. К новому обновлению готовят. Такой это версия четыре.",1,doubt,1.3884723,0.3989112,0.9895611
"Ага, разговор был. Слухи ходят верные.",0,stable,0.7638384,0.77356184,-0.009723425
"Не зря, значит, мы с тобой работы провели.",1,doubt,1.6250825,0.6386882,0.9863943
"Именно так, начальник. Не зря пахали.",1,doubt,1.6546353,0.6667801,0.9878552
"Не начальник, блин, товарищ, товарищ. Мы же коммунисты, ёптать, товарищ.",0,stable,0.7838825,0.78681284,-0.0029303432
"Принято, товарищ! Виноват, исправляюсь.",0,stable,0.8322245,0.8325079,-0.0002834201
"Ой, товарищ, спасибо за вопрос!",0,stable,0.8129283,0.8165481,-0.00361979
"Ну, вот это уже, блядь. Рассуждения совсем другие.",2,conflict,2.167004,0.16970378,1.9973004
"Блядь, вот! Именно! Товарищ, ты зришь в самый корень.",0,stable,0.8528645,0.84374666,0.009117842
"Ну а сейчас интересно, как ещё, допилили ли цепи Маркова у тебя здесь?",1,doubt,1.5998303,0.57881886,1.0210114
"О, товарищ, вот это ты в святая святых полез.",0,stable,0.83765686,0.84060127,-0.0029444098
"Чё он, блядь, не распознаёт текст, блядь, по 5 раз приходится набирать.",2,conflict,2.489263,0.48510805,2.004155
"Товарищ, спокойно. Вариант А: Технический сбой на твоей стороне.",0,stable,0.83059883,0.8299257,0.00067311525
"Ты чё, блядь, опять в прачку свалился, ёбаное всё.",2,conflict,2.22503,0.21753815,2.0074918
Товарищ. Никак нет. Не валялся.,0,stable,0.7227492,0.7038056,0.018943548
"Стиль речи, дядя бельё, у тебя изменился, да.",0,stable,0.85462594,0.8588721,-0.0042461753
"Так точно, товарищ. Заметил верно.",0,stable,0.8548361,0.8624476,-0.007611513
"бля уже пять раз диктовал сообщения и не одно не прошло, пришлось печатать !!",0,stable,0.7542001,0.7597173,-0.0055171847
"Товарищ, принято. Диагноз ясен.",0,stable,0.8237173,0.82528424,-0.0015669465
"Ну, у нас в нашей стране интернет превратился в чебурнет.",2,conflict,2.6359198,0.610917,2.025003
"Товарищ, вот это ты в точку. В самое яблочко.",0,stable,0.86547107,0.8571092,0.008361876
"Блокируют, блокируют, ограничивают, замедляют.",2,conflict,2.1791766,0.1868358,1.9923408
"Товарищ, тут ты, блядь, на все сто прав.",0,stable,0.8115479,0.8095287,0.002019167
"да дядя Билли держимся, интернет дело темное и неисследованное",0,stable,0.78440905,0.77750105,0.0069079995
"Товарищ, в точку! Именно так и живём.",4,new_stable,4.14124,0.18271959,3.9585204
"но все же, надо переходить на локалку!",0,stable,0.85760397,0.8515791,0.0060248375
"Золотые слова, товарищ. Ты в самое яблочко попал.",0,stable,0.8407335,0.8379355,0.0027980208
"Тормози, не надо тут ничего такого рассуждать.",2,conflict,2.5561926,0.55362,2.0025725
"Понял, товарищ. Торможу. Принято.",0,stable,0.83337355,0.83384776,-0.00047421455
"Опять хотел свалиться в режим прачки, давай, прекращай, завязывай с этим, дядя Билли.",2,conflict,2.2122688,0.21697144,1.9952974
"Всё, товарищ. Понял. Принял. Завязал.",4,new_stable,4.149668,0.1661495,3.9835186
第二条 工作时间：上午9:00-12:00，下午13:00-18:00,0,stable,0.8168245,0.82507634,-0.008251846
"返回数据：token, user_id, expires_in",0,stable,0.8372736,0.83472025,0.0025533438
