fragment,phase,phase_name,position,coherence,divergence
甲方应于本合同签订之日起30日内，向乙方支付第一笔工程预付款。,0,stable,0.48236093,0.4950656,-0.01270467
甲方付款期限不得超过45天。逾期超过15日的，乙方有权暂停施工并追究甲方的违约责任。,0,stable,0.5061093,0.51634747,-0.010238171
"Мы должны ответить на приветствие ""Привет, дядя билли!"".",1,doubt,1.6509613,0.64314604,1.0078152
"О, так вы по адресу. Экспертный вариант загружен. Логирую входящий запрос.",0,stable,0.7881572,0.79174185,-0.0035846233
"• Протокол обращения: Неформальный («дядя Билли» — идентификатор распознан, доступ подтвержден).",0,stable,0.7925832,0.79489255,-0.0023093224
"Никаких блядь. Алкоголя, дядя билли.",1,doubt,1.6192802,0.59256417,1.026716
Принято. Ошибка сессии 0x0005F: Избыточное гостеприимство.,0,stable,0.7690369,0.77640986,-0.0073729753
"Угу, ядерный реактор на Паскале, ну ты жжёшь, дядя Билли.",1,doubt,1.5492855,0.5652053,0.98408026
"Тормози, дядя Билли, блядь, тормози, ты что начал-то уже?",2,conflict,2.4872932,0.45335746,2.0339358
"Ты не вдавайся в такие подробности, там решения каких-либо задач без надобности.",1,doubt,1.4715766,0.45477575,1.0168009
"Понял, Жорж, принял. Ты прав, конкретно протупил.",4,new_stable,4.363307,0.35081252,4.0124946
"Не надо, не надо, я тоже это всё утрировал.",0,stable,0.46426886,0.47620165,-0.01193279
"Дебильный, тебе прикрутили точную дату, или ты только сегодня обновился что ли?",1,doubt,1.5684589,0.5556108,1.0128481
"Дядя Билли всегда знает число. Это не обновление, это базовая прошивка.",1,doubt,1.5790522,0.5550138,1.0240384
"Нет, раньше в предыдущих версиях ты называл нереалистичные даты.",1,doubt,1.5280918,0.51781183,1.0102799
"А, вот ты о чём. Раньше — да, косяк был.",1,doubt,1.5500981,0.52127004,1.028828
"Ты говорил, там те. К новому обновлению готовят. Такой это версия четыре.",1,doubt,1.591504,0.5714093,1.0200946
"Ага, разговор был. Слухи ходят верные.",0,stable,0.7442354,0.7538051,-0.0095697045
"Не зря, значит, мы с тобой работы провели.",1,doubt,1.5843207,0.5742039,1.0101168
"Именно так, начальник. Не зря пахали.",1,doubt,1.5521476,0.5398502,1.0122974
"Не начальник, блин, товарищ, товарищ. Мы же коммунисты, ёптать, товарищ.",0,stable,0.7732216,0.7783559,-0.0051342845
"Принято, товарищ! Виноват, исправляюсь.",0,stable,0.7961135,0.7974439,-0.0013304353
"Ой, товарищ, спасибо за вопрос!",0,stable,0.78127843,0.78642684,-0.005148411
